Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Asset
2021-01-04 00:00:00;0.870000005;0.894999981;0.860000014;0.86500001;18155509;0;0;Pilbara Minerals
2021-01-05 00:00:00;0.875;0.949999988;0.86500001;0.935000002;35986911;0;0;Pilbara Minerals
2021-01-06 00:00:00;0.949999988;1.014999986;0.935000002;1;34616977;0;0;Pilbara Minerals
2021-01-07 00:00:00;1.019999981;1.095000029;1.019999981;1.070000052;26860632;0;0;Pilbara Minerals
2021-01-08 00:00:00;1.090000033;1.120000005;1.07249999;1.095000029;23557358;0;0;Pilbara Minerals
2021-01-11 00:00:00;1.105000019;1.120000005;1.070000052;1.110000014;17926327;0;0;Pilbara Minerals
2021-01-12 00:00:00;1.090000033;1.090000033;1.00999999;1.039999962;22299052;0;0;Pilbara Minerals
2021-01-13 00:00:00;1.054999948;1.149999976;1.047500014;1.149999976;28408269;0;0;Pilbara Minerals
2021-01-14 00:00:00;1.149999976;1.179999948;1.070000052;1.179999948;24484467;0;0;Pilbara Minerals
2021-01-15 00:00:00;1.169999957;1.210000038;1.139999986;1.174999952;22504513;0;0;Pilbara Minerals
2021-01-18 00:00:00;1.139999986;1.220000029;1.139999986;1.179999948;19367318;0;0;Pilbara Minerals
2021-01-19 00:00:00;1.169999957;1.202499986;1.13499999;1.159999967;15936570;0;0;Pilbara Minerals
2021-01-20 00:00:00;1.159999967;1.25;1.144999981;1.25;31515731;0;0;Pilbara Minerals
2021-01-21 00:00:00;1.254999995;1.370000005;1.254999995;1.36500001;45225006;0;0;Pilbara Minerals
2021-01-22 00:00:00;1.38499999;1.467499971;1.149999976;1.149999976;80320044;0;0;Pilbara Minerals
2021-01-25 00:00:00;1.195000052;1.230000019;1.149999976;1.179999948;27093616;0;0;Pilbara Minerals
2021-01-27 00:00:00;1.195000052;1.230000019;1.149999976;1.149999976;32945872;0;0;Pilbara Minerals
2021-01-28 00:00:00;1.105000019;1.110000014;1.034999967;1.070000052;37484253;0;0;Pilbara Minerals
2021-01-29 00:00:00;1.075000048;1.110000014;0.894999981;0.930000007;76017816;0;0;Pilbara Minerals
2021-02-01 00:00:00;0.88499999;1.044999957;0.860000014;1.039999962;49090233;0;0;Pilbara Minerals
2021-02-02 00:00:00;1.080000043;1.100000024;0.970000029;0.995000005;27723844;0;0;Pilbara Minerals
2021-02-03 00:00:00;1.004999995;1.00999999;0.970000029;1.004999995;16549226;0;0;Pilbara Minerals
2021-02-04 00:00:00;1.00999999;1.044999957;0.995000005;1.014999986;16304525;0;0;Pilbara Minerals
2021-02-05 00:00:00;1.029999971;1.039999962;0.975000024;0.985000014;14750139;0;0;Pilbara Minerals
2021-02-08 00:00:00;1;1.019999981;0.985000014;1;29720640;0;0;Pilbara Minerals
2021-02-09 00:00:00;1.019999981;1.049999952;0.985000014;1.004999995;28572717;0;0;Pilbara Minerals
2021-02-10 00:00:00;1.00999999;1.00999999;0.944999993;0.959999979;25068787;0;0;Pilbara Minerals
2021-02-11 00:00:00;0.954999983;0.985000014;0.944999993;0.944999993;15634913;0;0;Pilbara Minerals
2021-02-12 00:00:00;0.944999993;0.980000019;0.930000007;0.964999974;14867996;0;0;Pilbara Minerals
2021-02-15 00:00:00;0.975000024;1.085000038;0.975000024;1.080000043;29786427;0;0;Pilbara Minerals
2021-02-16 00:00:00;1.100000024;1.100000024;1.039999962;1.075000048;15971271;0;0;Pilbara Minerals
2021-02-17 00:00:00;1.085000038;1.129999995;1.059999943;1.129999995;17699640;0;0;Pilbara Minerals
2021-02-18 00:00:00;1.100000024;1.105000019;1.054999948;1.080000043;22356634;0;0;Pilbara Minerals
2021-02-19 00:00:00;1.039999962;1.059999943;1.014999986;1.059999943;14944066;0;0;Pilbara Minerals
2021-02-22 00:00:00;1.085000038;1.147500038;1.080000043;1.125;20818678;0;0;Pilbara Minerals
2021-02-23 00:00:00;1.120000005;1.129999995;1.090000033;1.129999995;12960904;0;0;Pilbara Minerals
2021-02-24 00:00:00;1.110000014;1.120000005;1.059999943;1.100000024;20057826;0;0;Pilbara Minerals
2021-02-25 00:00:00;1.110000014;1.129999995;1.067499995;1.090000033;13922387;0;0;Pilbara Minerals
2021-02-26 00:00:00;1.049999952;1.054999948;1;1.039999962;27195680;0;0;Pilbara Minerals
2021-03-01 00:00:00;1.024999976;1.024999976;0.977500021;1.00999999;37458967;0;0;Pilbara Minerals
2021-03-02 00:00:00;1.029999971;1.075000048;0.995000005;1.029999971;21787797;0;0;Pilbara Minerals
2021-03-03 00:00:00;1.024999976;1.100000024;1.017500043;1.100000024;17054745;0;0;Pilbara Minerals
2021-03-04 00:00:00;1.054999948;1.070000052;0.995000005;1.00999999;17721643;0;0;Pilbara Minerals
2021-03-05 00:00:00;0.964999974;0.980000019;0.88499999;0.975000024;43174780;0;0;Pilbara Minerals
2021-03-08 00:00:00;0.995000005;1.014999986;0.920000017;0.930000007;21855315;0;0;Pilbara Minerals
2021-03-09 00:00:00;0.930000007;0.959999979;0.904999971;0.949999988;10814404;0;0;Pilbara Minerals
